data,algorithm,time,orc_time,alpha,nmi,ari,nf1,#com,merge,merge_avg,orc_node,orc_edge
dolphin,CMS,0.425463438,0.421761513,0.5,0.526612167,0.598330067,0.546666667,3,"[17, 7, 2]",8.666666667,"[-0.06328463203463192, 0.25649350649350666, 0.4111111111111112]","[-0.025313852813852768, 0.12824675324675333, 0.4111111111111112]"
dolphin,CMS,0.424598694,0.419606447,0.6,0.526612167,0.598330067,0.546666667,3,"[18, 7, 2]",9,"[-0.05217915764790749, 0.25649350649350666, 0.4111111111111112]","[-0.020871663059162996, 0.12824675324675333, 0.4111111111111112]"
dolphin,CMS,0.430265665,0.425281763,0.7,0.44627261,0.495582997,0.51,3,"[18, 6, 2]",8.666666667,"[-0.0845404040404039, 0.3134920634920637, 0.4111111111111112]","[-0.03381616161616156, 0.18809523809523823, 0.4111111111111112]"
dolphin,CMS,0.430757046,0.4257195,0.8,0.44627261,0.495582997,0.51,3,"[18, 6, 2]",8.666666667,"[-0.0845404040404039, 0.3134920634920637, 0.4111111111111112]","[-0.03381616161616156, 0.18809523809523823, 0.4111111111111112]"
dolphin,CMS,0.424754381,0.419582129,0.9,0.44627261,0.495582997,0.51,3,"[18, 6, 2]",8.666666667,"[-0.06669913419913405, 0.3134920634920637, 0.4111111111111112]","[-0.02667965367965362, 0.18809523809523823, 0.4111111111111112]"
dolphin,CMS,0.429101229,0.423332453,1,0.44627261,0.495582997,0.51,3,"[18, 6, 2]",8.666666667,"[-0.06669913419913405, 0.3134920634920637, 0.4111111111111112]","[-0.02667965367965362, 0.18809523809523823, 0.4111111111111112]"
polbooks,CMS,0.446462154,0.437573433,0,0.477435287,0.579027537,0.173333333,5,"[51, 42, 0, 0, 5]",19.6,"[0.03090675315487213, 0.13693753039767567, 0.0, 0.0, 0.13201058201058216]","[0.007726688288718033, 0.0338581805928319, 0, 0, 0.09900793650793663]"
polbooks,CMS,0.443343639,0.432967901,0.1,0.346154548,0.359164606,0.16,5,"[20, 19, 1, 2, 4]",9.2,"[0.055898585110541694, 0.04026978154695565, 0.15714285714285725, 0.3287037037037038, 0.4672619047619048]","[0.014606665456020946, 0.011200866390543957, 0.3142857142857145, 0.3287037037037038, 0.2548701298701299]"
polbooks,CMS,0.454965353,0.437299967,0.2,0.516745862,0.602894536,0.3315,5,"[4, 16, 17, 5, 2]",8.8,"[0.20160791589363036, 0.13050795520904288, 0.22058960100348138, 0.22695082695082727, 0.5895833333333333]","[0.14112554112554127, 0.03137896190818517, 0.05182526770563719, 0.10401912901912917, 0.39305555555555555]"
polbooks,CMS,0.462625742,0.444334984,0.3,0.466176678,0.553931559,0.167111111,5,"[4, 15, 13, 2, 2]",7.2,"[0.20160791589363036, 0.008602318575144758, -0.018195038226093866, 0.3287037037037038, 0.2222222222222223]","[0.14112554112554127, 0.002263768046090726, -0.004269226846346046, 0.3287037037037038, 0.2222222222222223]"
